num_session,legislatura_v1,legislatura_v2,fecha_v1,fecha_v2,dias,id_min,id_max,filas,prueba
52,1931-1933,1931-1933,1931-10-03,1931-10-08,5,6508,6546,39,cabeceras+danada
78,1931-1933,1931-1933,1931-11-25,1931-11-20,-5,11373,11637,265,cabeceras+danada
293,1931-1933,1931-1933,1932-02-10,1933-02-10,366,45481,45569,89,cabeceras+errata
295,1931-1933,1931-1933,1932-02-15,1933-02-15,366,45642,45779,138,cabeceras+errata
311,1931-1933,1931-1933,1933-03-11,1933-03-15,4,47743,47852,110,cabeceras+errata
321,1931-1933,1931-1933,1931-07-14,1933-03-31,626,48721,48882,162,cabeceras+portada
77,1931-1933,1933-1935,1933-06-01,1934-05-04,337,68678,68768,91,cabeceras+serie
