legislatura,relaciones_par_medida,cruce_de_bloque,cruce_de_bloque_pct,cruce_estricto,cruce_estricto_pct,cruce_con_el_centro,cruce_con_el_centro_pct_del_cruce,medidas,medidas_con_cruce_estricto,version
1931-1933,30345,10639,35.06,2150,7.09,8489,79.79,674,196,CGOCUS V1.1
1933-1936,27172,6260,23.04,689,2.54,5571,88.99,767,78,CGOCUS V1.1
1936-1939,5990,442,7.38,347,5.79,95,21.49,89,16,CGOCUS V1.1
