votacion,fecha,num_session,legislatura,si,no,total,mitad_mas_uno,nominal,id_V2,id_v3,literal
141-106,1931-10-01,48,1931-1933,141,106,,,no,5453,6110,En votación ordinaria fue desechada la proposición del grupo socialista por 141 votos contra 106.
161-121,1931-10-01,48,1931-1933,161,121,,,sí,5453,6110,"Total, 161. … Total, 121."
178-59,1931-10-13,55,1931-1933,178,59,,,sí,6994,7800,quedó aprobado el artículo 24 por 178 votos contra 59
368-466,1931-12-09,88,1931-1933,368,0,466,234,sí,13531,15043,"Los Sres. Diputados que han prometido en estas Cortes suman 466; la mitad más uno, 234. Han tomado parte en la votación 368 señores Diputados y este mismo número ha votado que sí."
318-19,1932-09-09,233,1931-1933,318,19,462,232,sí,37177,41627,"votaron en pro del proyecto de Reforma agraria 318 Sres. Diputados, y en contra, 19"
314-24,1932-09-09,233,1931-1933,314,24,,,sí,37178,41629,"Total, 314. … Total, 24."
238-5,1936-04-07,15,1936-1939,238,5,417,209,sí,102358,115675,resultado que habían votado a favor de la proposición 238 Sres. Diputados y en contra 5
