etapa,puesto,rep_id,rep_name,grafia,party,party_family,filas_habla_v3,palabras_habla_v3,pct_etapa
I,175,372,Luis Garcia Y Garcia Lozano,Luis García y García Lozano,PRR,Republicanos,93,16449,0.001437
I,176,337,Jose Franchy Roca,José Franchy Roca,PRDF,Republicanos,48,16415,0.001434
I,177,835,Mariano Ruiz Funes Garcia,Mariano Ruiz-Funes García,AR,Republicanos,89,16383,0.001431
I,178,30,Ramon Maria Aldasoro Y Galarza,Ramón María Aldasoro y Galarza,PRRS,Republicanos,101,16204,0.001416
I,179,801,Alfonso Daniel Rodriguez Castelao,Alfonso Daniel Rodríguez Castelao,PG,Nacionalista Gallego,20,16020,0.0014
I,180,339,Ramon Franco Bahamonde,Ramón Franco Bahamonde,ERC,Catizq,54,15885,0.001388
I,181,1000,Juan Simeon Vidarte Franco Romero,Juan Simeón Vidarte Franco-Romero,PSOE,Socialista,177,15836,0.001384
I,182,513,Salvador Madariaga Rojo,Salvador Madariaga Rojo,FRG,Republicanos,32,15562,0.00136
I,183,623,Juan Moran Bayo,Juan Morán Bayo,PSOE,Socialista,77,15413,0.001347
I,184,975,Eloy Vaquero Cantillo,Eloy Vaquero Cantillo,PRR,Republicanos,17,15271,0.001334
I,185,40,Bruno Alonso Gonzalez,Bruno Alonso González,PSOE,Socialista,47,15121,0.001321
I,186,7,Antonio Acuña Carballar,Antonio Acuña Carballar,PSOE,Socialista,45,15042,0.001314
I,187,958,Antonio Tuñon De Lara,Antonio Tuñón de Lara,PRR,Republicanos,30,14986,0.001309
I,188,742,Gustavo Pittaluga Fattorini,Gustavo Pittaluga Fattorini,DLR,Liberales,24,14958,0.001307
I,189,772,Enrique Ramos Ramos,Enrique Ramos Ramos,AR,Republicanos,76,14922,0.001304
I,190,680,Andres Ovejero Bustamante,Andrés Ovejero Bustamante,PSOE,Socialista,11,14884,0.0013
I,191,654,Luis Nicolau D'olwer,Luis Nicoláu d'Olwer,ACR,Catizq,36,14760,0.00129
I,192,174,Rafael Campalans Puig,Rafael Campaláns Puig,USC,Socialista,18,14624,0.001278
I,193,299,Vicente Fatras Neira,Vicente Fatrás Neira,PRRS,Republicanos,35,14607,0.001276
I,194,251,Ricardo Crespo Romero,Ricardo Crespo Romero,AR,Republicanos,64,14412,0.001259
I,195,228,Adolfo Chacon De La Mata,Adolfo Chacón de la Mata,AR,Republicanos,31,14239,0.001244
I,196,1019,Jose Xirau Palau,José Xirau Palau,ERC,Catizq,21,13935,0.001218
I,197,932,Luis De Tapia Romero,Luis de Tapia Romero,Indep.,Republicanos,45,13934,0.001217
I,198,273,Tomas Dominguez Arevalo,Tomás Domínguez Arévalo,CT,Carlistas,40,13874,0.001212
I,199,415,Anastasio De Gracia Villarrubia,Anastasio de Gracia Villarrubia,PSOE,Socialista,94,13657,0.001193
I,200,1018,Antonio Xirau Palau,Antonio Xirau Palau,ERC,Catizq,42,13598,0.001188
I,201,913,Jaime Simo Bofarull,Jaime Simó Bofarull,PRR,Republicanos,33,13323,0.001164
I,202,531,Tomas Marcos Escribano,Tomás Marcos Escribano,DLR,Liberales,16,13295,0.001162
I,203,310,Eladio Fernandez Egocheaga,Eladio Fernández Egocheaga,PSOE,Socialista,34,13253,0.001158
I,204,270,Manuel Dolcet Carmen,Manuel Dolcet Carmen,PRDF,Catizq,36,13241,0.001157
I,205,304,Antonio Fernandez Bolaños Mora,Antonio Fernández-Bolaños Mora,PSOE,Socialista,93,13059,0.001141
I,206,656,Alfredo Nistal Martinez,Alfredo Nistal Martínez,PSOE,Socialista,82,13053,0.001141
I,207,181,Antonio Cañizares Peñalva,Antonio Cañizares Peñalva,PSOE,Socialista,25,12996,0.001136
I,208,65,Mariano Anso Zunzarren,Mariano Ansó Zunzarren,AR,Republicanos,85,12852,0.001123
I,209,724,Antonio Perez Torreblanca,Antonio Pérez Torreblanca,PRRS,Republicanos,20,12834,0.001121
I,210,365,Antonio Garcia Prieto,Antonio García Prieto,PSOE,Socialista,16,12762,0.001115
I,211,892,Venancio Sarria Simon,Venancio Sarriá Simón,PRRS,Republicanos,54,12701,0.00111
I,212,812,Mariano Rojo Gonzalez,Mariano Rojo González,PSOE,Socialista,33,12215,0.001067
I,213,895,Salvador Sediles Moreno,Salvador Sediles Moreno,EIF,Republicanos,55,12026,0.001051
I,214,700,Alvaro Pascual Leone,Álvaro Pascual Leone,PRR,Republicanos,33,11636,0.001017
I,215,653,Margarita Nelken Mansberger De Paul,Margarita Nelken Mansberger de Paúl,PSOE,Socialista,11,11589,0.001013
I,216,777,Jose Reino Caamaño,José Reino Caamaño,DLR,Republicanos,31,11578,0.001012
I,217,636,Gabriel Moron Diaz,Gabriel Morón Díaz,PSOE,Socialista,23,11527,0.001007
I,218,748,Gabriel Pradal Gomez,Gabriel Pradal Gómez,PSOE,Socialista,86,11462,0.001001
I,219,93,Francisco Azorin Izquierdo,Francisco Azorín Izquierdo,PSOE,Socialista,101,11391,0.000995
I,220,718,Alonso Perez Diaz,Alonso Pérez Díaz,PRR,Republicanos,36,11356,0.000992
I,221,243,Manuel Cordero Perez,Manuel Cordero Pérez,PSOE,Socialista,36,11328,0.00099
I,222,988,Antonio Velao Oñate,Antonio Velao Oñate,AR,Republicanos,40,11262,0.000984
