etapa,puesto,rep_id,rep_name,grafia,party,party_family,filas_habla_v3,palabras_habla_v3,pct_etapa
I,359,669,Jose Luis De Oriol Y Uriguen,José Luis de Oriol y Urigüen,CT,Carlistas,4,1250,0.000109
I,360,568,Manuel Martinez Risco Y Macias,Manuel Martínez Risco y Macías,AR,Republicanos,1,1209,0.000106
I,361,796,Manuel Robles Aranguiz,Manuel Robles Aránguiz,PNV,Nacionalista Vasco,3,1178,0.000103
I,362,427,Cesar Gusano Rodriguez,César Gusano Rodríguez,DLR,Liberales,4,1173,0.000102
I,363,929,Felix Susaeta Y Mardones,Félix Susaeta y Mardones,PRRS,Republicanos,8,1164,0.000102
I,364,890,Angel Sarmiento Gonzalez,Ángel Sarmiento González,PRDF,Republicanos,2,1151,0.000101
I,365,693,Basilio Paraiso Labad,Basilio Paraíso Labad,PRR,Republicanos,3,1083,9.5e-05
I,366,959,Rafael Ulled Altimer,Rafael Ulled Altimer,PRR,Republicanos,2,1076,9.4e-05
I,367,116,Francisco Basterrechea Zaldivar,Francisco Basterrechea Zaldivar,PNV,Nacionalista Vasco,3,993,8.7e-05
I,368,183,Rufino Cano De Rueda,Rufino Cano de Rueda,Indep.,Conservadores,12,979,8.6e-05
I,369,152,Juan Bort Olmos,Juan Bort Olmos,PRR,Republicanos,8,973,8.5e-05
I,370,373,Jose Garrote Tebar,José Garrote Tebar,PSOE,Socialista,2,966,8.4e-05
I,371,451,Alejandro Jaume Rossello,Alejandro Jaume Rossello,PSOE,Socialista,3,961,8.4e-05
I,372,353,Manuel Garcia Becerra,Manuel García Becerra,PRR,Republicanos,5,958,8.4e-05
I,373,180,Jose Teodoro Canet Menendez,José Teodoro Canet Menéndez,PRR,Republicanos,7,886,7.7e-05
I,374,660,Francisco Nuñez Tomas,Francisco Núñez Tomás,PSOE,Socialista,1,829,7.2e-05
I,375,1016,Rodolfo Viñas Arcos,Rodolfo Viñas Arcos,PSOE,Socialista,2,825,7.2e-05
I,376,759,Juan Puig Ferrater,Juan Puig Ferrater,ERC,Catizq,7,807,7.1e-05
I,377,852,Vicente Sales Musoles,Vicente Sales Musoles,DLR,Liberales,9,784,6.9e-05
I,378,893,Francisco Saval Moris,Francisco Saval Moris,PRRS,Republicanos,5,780,6.8e-05
I,379,637,Jose Mouriz Riesgo,José Mouriz Riesgo,PSOE,Socialista,2,760,6.6e-05
I,380,965,Juan Usabiaga Lasquibar,Juan Usabiaga Lasquíbar,PRR,Republicanos,2,725,6.3e-05
I,381,198,Francisco Carreras Reura,Francisco Carreras Reura,AR,Republicanos,3,649,5.7e-05
I,382,725,Domingo Perez Trujillo,Domingo Pérez Trujillo,PSOE,Socialista,9,614,5.4e-05
I,383,274,Jose Dominguez Barbero,José Domínguez Barbero,AR,Republicanos,2,611,5.3e-05
I,384,982,Narciso Vazquez Torres,Narciso Vázquez Torres,PSOE,Socialista,4,580,5.1e-05
I,385,817,Pedro Romero Rodriguez,Pedro Romero Rodríguez,PRR,Republicanos,8,487,4.3e-05
I,386,259,Jose Dencas Puigdollers,José Dencás Puigdollers,ERC,Catizq,7,479,4.2e-05
I,387,1022,Francisco Zafra Contreras,Francisco Zafra Contreras,PSOE,Socialista,3,469,4.1e-05
I,388,11,Jaime Aguade Miro,Jaime Aguadé Miró,ERC,Catizq,1,423,3.7e-05
I,389,6,Amos Acero Perez,Amós Acero Pérez,PSOE,Socialista,3,395,3.5e-05
I,390,720,Eduardo Perez Iglesias,Eduardo Pérez Iglesias,PRDF,Republicanos,5,395,3.5e-05
I,391,606,Jose Molina Moreno,José Molina Moreno,PSOE,Socialista,2,390,3.4e-05
I,392,323,Felix Fernandez Villarrubia,Félix Fernández Villarrubia,PSOE,Socialista,5,380,3.3e-05
I,393,701,Alfonso Pazos Cid,Alfonso Pazos Cid,PRR,Republicanos,2,338,3e-05
I,394,199,Gerardo Carreres Bayarri,Gerardo Carreres Bayarri,PURA,Republicanos,5,310,2.7e-05
I,395,105,Miguel Bargallo Ardevol,Miguel Bargalló Ardevol,PSOE,Socialista,8,240,2.1e-05
I,396,387,Pedro Gomez Chaix,Pedro Gómez Chaix,PRR,Republicanos,1,226,2e-05
I,397,963,Julio Urquijo Ibarra,Julio Urquijo Ibarra,CT,Carlistas,9,220,1.9e-05
I,398,640,Manuel Muiño Arroyo,Manuel Muiño Arroyo,PSOE,Socialista,2,213,1.9e-05
I,399,686,Ricardo Palacin Soldevilla,Ricardo Palacín Soldevilla,ERC,Catizq,4,210,1.8e-05
I,400,172,Miguel De Camara Cendoya,Miguel de Cámara Cendoya,PRR,Republicanos,3,180,1.6e-05
I,401,162,Remigio Cabello Toral,Remigio Cabello Toral,PSOE,Socialista,1,119,1e-05
I,402,781,Juan Revilla Garcia,Juan Revilla García,PRR,Republicanos,4,83,7e-06
I,403,390,Enrique Gomez Jimenez,Enrique Gómez Jiménez,DLR,Liberales,2,52,5e-06
I,404,728,Alejandro Peris Caruana,Alejandro Peris Caruana,PSOE,Socialista,2,48,4e-06
I,405,813,Jose Maria Roldan Sanchez De La Fuente,José María Roldán Sánchez de la Fuente,DLR,Liberales,4,44,4e-06
I,406,324,Rodrigo Fernandez Y Garcia De La Villa,Rodrigo Fernández y García de la Villa,PRR,Republicanos,1,43,4e-06
I,407,473,Casimiro Lana Sarrate,Casimiro Lana Sarrate,PRRS,Republicanos,2,42,4e-06
I,408,74,Eugenio Arbones Castellanzuelo,Eugenio Arbones Castellanzuelo,PSOE,Socialista,4,28,2e-06
I,409,675,Manuel Osorio Florit,Manuel Osorio Florit,DLR,Liberales,2,28,2e-06
I,410,369,Celestino Garcia Santos,Celestino García Santos,PSOE,Socialista,3,27,2e-06
I,411,662,Cesar Oarrichena Jenaro,César Oarrichena Jenaro,PRR,Republicanos,1,16,1e-06
I,412,860,Quirino Salvadores Crespo,Quirino Salvadores Crespo,PSOE,Socialista,1,12,1e-06
I,413,196,Juan Carreño Vargas,Juan Carreño Vargas,PSOE,Socialista,1,7,1e-06
I,414,197,Ramon Carreras Pons,Ramón Carreras Pons,PRR,Republicanos,1,6,1e-06
I,415,665,Manuel Olmedo Serrano,Manuel Olmedo Serrano,PSOE,Socialista,1,6,1e-06
I,416,255,Ramon De La Cuesta Y Cobo De La Torre,Ramón de la Cuesta y Cobo de la Torre,Agrarios,Agrarios,1,5,0.0
II,1,103,Augusto Barcia Y Trelles,Augusto Barcia y Trelles,AR,Republicanos,482,233136,0.028724
II,2,754,Indalecio Prieto Tuero,Indalecio Prieto Tuero,PSOE,Socialista,307,193076,0.023789
II,3,170,Jose Calvo Sotelo,José Calvo Sotelo,RE,Derecha autoritaria,148,179719,0.022143
II,4,229,Joaquin Chapaprieta Y Torregrosa,Joaquín Chapaprieta y Torregrosa,RI,Liberales,366,155861,0.019203
II,5,456,Manuel Jimenez Fernandez,Manuel Giménez Fernández,CEDA,Conservadores,262,152083,0.018738
II,6,804,Luis Rodriguez De Viguri,Luis Rodríguez de Viguri,Agrarios,Conservadores,600,149467,0.018416
II,7,380,Jose Maria Gil Robles Y Quiñones De Leon,José María Gil Robles y Quiñones de León,CEDA,Conservadores,253,131217,0.016167
II,8,470,Jose Maria Lamamie De Clairac Y De La Colina,José María Lamamié de Clairac y de la Colina,CT,Carlistas,269,128855,0.015876
II,9,385,Antonio Goicoechea Y Cosculluela,Antonio Goicoechea y Cosculluela,RE,Derecha autoritaria,145,122385,0.015079
II,10,821,Antonio Royo Villanova Morales,Antonio Royo Villanova Morales,Agrarios,Conservadores,193,116395,0.014341
II,11,790,Cirilo Del Rio Rodriguez,Cirilo del Río Rodríguez,PRP,Liberales,165,94660,0.011663
II,12,863,Ricardo Samper Ibañez,Ricardo Samper Ibáñez,PURA,Republicanos Autonomista,167,89197,0.01099
II,13,257,Fermin Daza Diaz Del Castillo,Fermín Daza Díaz del Castillo,PRC,Conservadores,262,88908,0.010954
II,14,522,Daniel Mangrane Escardo,Daniel Mangrané Escardó,ERC,Catizq,232,85447,0.010528
II,15,521,Joaquin Manglano Y Cucalo De Montull,Joaquín Manglano y Cucaló de Montull,CT,Carlistas,188,81301,0.010017
II,16,722,Joaquin Perez Madrigal,Joaquín Pérez Madrigal,PRR,Republicanos,302,81275,0.010014
II,17,911,Tomas Sierra Rustarazo,Tomás Sierra Rustarazo,PRR,Republicanos,218,80449,0.009912
II,18,449,Enrique Izquierdo Jimenez,Enrique Izquierdo Jiménez,PRR,Republicanos,136,78408,0.00966
II,19,94,Mateo Azpeitia Esteban,Mateo Azpeitia Esteban,CEDA,Conservadores,296,76357,0.009408
II,20,998,Miguel Vidal Guardiola,Miguel Vidal Guardiola,Lliga,Catder,172,73995,0.009117
II,21,448,Manuel Irujo Ollo,Manuel Irujo Ollo,PNV,Nacionalista Vasco,248,73882,0.009103
II,22,362,Luis Garcia Guijarro,Luis García Guijarro,CEDA,Conservadores,119,72969,0.00899
II,23,399,Jose Gonzalez Fernandez De La Bandera,José González Fernández de la Bandera,PRR,Republicanos,196,71603,0.008822
II,24,208,Candido Casanueva Y Gorjon,Cándido Casanueva y Gorjón,CEDA,Conservadores,553,71448,0.008803
II,25,538,Manuel Marraco Ramon,Manuel Marraco Ramón,PRR,Republicanos,215,70448,0.00868
II,26,422,Rafael Guerra Del Rio,Rafael Guerra del Río,PRR,Republicanos,202,67336,0.008296
II,27,798,Juan Jose Rocha Garcia,Juan José Rocha García,PRR,Republicanos,242,65755,0.008102
II,28,991,Nicasio Velayos Y Velayos,Nicasio Velayos y Velayos,Agrarios,Agrarios,136,62280,0.007673
II,29,857,Federico Salmon Amorin,Federico Salmón Amorín,CEDA,Conservadores,123,61509,0.007578
II,30,52,Jose Maria Alvarez Mendizabal Y Bonilla,José María Álvarez Mendizábal y Bonilla,PRR,Republicanos,342,61050,0.007522
II,31,166,Abilio Calderon Rojo,Abilio Calderón Rojo,Agrarios,Conservadores,169,59761,0.007363
II,32,512,Dimas Madariaga Almendros,Dimas Madariaga Almendros,CEDA,Conservadores,182,58842,0.00725
II,33,942,Romualdo De Toledo Y Robles,Romualdo de Toledo y Robles,CT,Carlistas,98,58230,0.007174
II,34,96,Carlos Badia Malagrida,Carlos Badía Malagrida,Lliga,Catder,75,57667,0.007105
II,35,342,Santiago Fuentes Pila,Santiago Fuentes Pila,RE,Derecha autoritaria,197,56904,0.007011
II,36,755,Jose Antonio Primo De Rivera Y Saenz De Heredia,José Antonio Primo de Rivera y Sáenz de Heredia,FE,Fascista,111,56825,0.007001
II,37,993,Juan Ventosa Calvell,Juan Ventosa Calvell,Lliga,Catder,61,56394,0.006948
II,38,57,Ramon Alvarez Valdes Y Castañon,Ramón Álvarez Valdés y Castañón,LD,Liberales,153,55211,0.006802
II,39,64,Jose Andres Manso,José Andrés Manso,PSOE,Socialista,112,54919,0.006766
II,40,559,Esteban Martinez Hervas,Esteban Martínez Hervás,PSOE,Socialista,80,54891,0.006763
II,41,477,Antonio Lara Zarate,Antonio Lara Zárate,PRR,Republicanos,143,52986,0.006528
II,42,43,Elfidio Alonso Rodriguez,Elfidio Alonso Rodríguez,PRR,Republicanos,242,52212,0.006433
II,43,985,Francisco Vega De La Iglesia Manteca,Francisco Vega de la Iglesia Manteca,PRR,Republicanos,380,52138,0.006424
II,44,749,Jose Prat Garcia,José Prat García,PSOE,Socialista,115,51106,0.006297
II,45,851,Rafael Salazar Alonso,Rafael Salazar Alonso,PRR,Republicanos,135,50528,0.006225
II,46,923,Fernando Suarez De Tangil Y Angulo,Fernando Suárez de Tangil y Angulo,RE,Derecha autoritaria,161,49737,0.006128
II,47,148,Cayetano Bolivar Escribano,Cayetano Bolívar Escribano,PCE,Comunista,144,49028,0.006041
II,48,487,Alejandro Lerroux Garcia,Alejandro Lerroux García,PRR,Republicanos,66,48247,0.005944
II,49,581,Miguel Maura Gamazo,Miguel Maura Gamazo,PRC,Conservadores,80,48101,0.005926
II,50,173,Francisco De Asis Cambo Y Batlle,Francisco de Asís Cambó y Batlle,Lliga,Catder,33,47647,0.00587
II,51,305,Federico Fernandez Castillejo,Federico Fernández Castillejo,PRP,Liberales,167,47126,0.005806
II,52,774,Luis Recasens Siches,Luis Recaséns Siches,PRC,Conservadores,85,46678,0.005751
II,53,548,Pedro Martin Y Martin,Pedro Martín y Martín,Agrarios,Conservadores,82,46604,0.005742
II,54,565,Salvador Martinez Moya Crespo,Salvador Martínez Moya Crespo,PRR,Republicanos,191,46273,0.005701
II,55,823,Jose Tomas Rubio Chavarri,José Tomás Rubio Chávarri,PRP,Liberales,73,44955,0.005539
II,56,1011,Justo Villanueva Y Gomez,Justo Villanueva y Gómez,PRR,Republicanos,372,44014,0.005423
II,57,908,Ramon Serrano Suñer,Ramón Serrano Suñer,Agrarios,Agrarios,93,43188,0.005321
II,58,236,Jesus Comin Sagues,Jesús Comín Sagües,CT,Carlistas,175,42897,0.005285
II,59,231,Jose Maria Cid Ruiz Zorrilla,José María Cid Ruiz Zorrilla,Agrarios,Conservadores,54,42791,0.005272
II,60,412,Felix Gordon Ordas,Félix Gordón Ordás,PRRS,Republicanos,69,42559,0.005244
II,61,54,Antonio Alvarez Robles,Antonio Álvarez Robles,CEDA,Conservadores,41,42360,0.005219
II,62,51,Leon Carlos Alvarez Lara,León Carlos Álvarez Lara,Agrarios,Conservadores,312,41550,0.005119
II,63,956,Jose Antonio Trabal Y Saus,José Antonio Trabal y Sans,ERC,Catizq,116,41446,0.005106
II,64,59,Andres Amado Y Reygondaud De Villebardet,Andrés Amado y Reygondaud de Villebardet,RE,Derecha autoritaria,29,40289,0.004964
II,65,184,Dionisio Cano Lopez,Dionisio Cano López,PRC,Conservadores,196,40118,0.004943
II,66,534,Melchor Marial Mundet,Melchor Marial Mundet,PRF,Republicanos,89,39949,0.004922
II,67,550,Diego Martinez Barrio,Diego Martínez Barrio,PRR,Republicanos,88,39070,0.004814
II,68,269,Fulgencio Diez Pastor,Fulgencio Díez Pastor,PRR,Republicanos,174,38196,0.004706
II,69,191,Ramon De Carranza Y Fernandez Reguera,Ramón de Carranza y Fernández Reguera,RE,Derecha autoritaria,107,38142,0.004699
II,70,25,Jose Maria Albiñana Sanz,José María Albiñana Sanz,PNE,Fascista,82,36042,0.004441
II,71,89,Manuel Azaña Diaz,Manuel Azaña Díaz,AR,Republicanos,13,35868,0.004419
II,72,681,Joaquin De Pablo Blanco Torres,Joaquín de Pablo-Blanco Torres,PRR,Republicanos,67,35672,0.004395
II,73,138,Jose Maria Blanc Rodriguez,José María Blanc Rodríguez,PRR,Republicanos,159,35606,0.004387
II,74,334,Manuel Florensa Farre,Manuel Florensa Farré,Lliga,Catder,31,34562,0.004258
II,75,884,Miguel Santalo Y Parvorell,Miguel Santaló y Parvorell,ERC,Catizq,77,33717,0.004154
II,76,769,Aurelio Ramos Acosta,Aurelio Ramos Acosta,PRSI,Republicanos,81,31490,0.00388
II,77,18,Rafael Aizpun Santafe,Rafael Aizpún Santafé,CEDA,Conservadores,84,30763,0.00379
II,78,994,Juan Ventosa Roig,Juan Ventosa Roig,ERC,Catizq,60,30519,0.00376
II,79,975,Eloy Vaquero Cantillo,Eloy Vaquero Cantillo,PRR,Republicanos,78,30408,0.003747
II,80,700,Alvaro Pascual Leone,Álvaro Pascual Leone,PRR,Republicanos,109,30134,0.003713
II,81,808,Antonio Rodriguez Perez,Antonio Rodríguez Pérez,RI,Republicano Independiente,115,30024,0.003699
II,82,1007,Ignacio Villalonga Villalba,Ignacio Villalonga Villalba,CEDA,Conservadores,141,29359,0.003617
II,83,906,Emilio Alfredo Serrano Jover,Emilio Alfredo Serrano Jover,RE,Derecha autoritaria,89,28937,0.003565
II,84,918,Vicente Sole De Sojo,Vicente Solé de Sojo,Lliga,Catder,126,28674,0.003533
II,85,394,Trifon Gomez San Jose,Trifón Gómez San José,PSOE,Socialista,45,28613,0.003525
II,86,435,Diego Hidalgo Duran,Diego Hidalgo Durán,PRR,Republicanos,64,28219,0.003477
II,87,909,Vicente Sierra Martinez,Vicente Sierra Martínez,PRR,Republicanos,95,28148,0.003468
II,88,210,Hermenegildo Casas Jimenez,Hermenegildo Casas Jiménez,PSOE,Socialista,106,28099,0.003462
II,89,315,Jose Maria Fernandez Ladreda Y Menendez Valdes,José María Fernández Ladreda y Menéndez Valdés,CEDA,Conservadores,163,28066,0.003458
II,90,77,Pedro Armasa Briales,Pedro Armasa Briales,PRR,Republicanos,241,27872,0.003434
II,91,979,Eugenio Vazquez Gundin,Eugenio Vázquez Gundín,CEDA,Conservadores,49,27655,0.003407
II,92,135,Crescenciano Bilbao Castellano,Crescenciano Bilbao Castellanos,PSOE,Socialista,36,27610,0.003402
II,93,668,Jaime Oriol De La Puerta,Jaime Oriol de la Puerta,Agrarios,Conservadores,47,27420,0.003378
II,94,503,Jose Lopez Varela,José López Varela,PRR,Republicanos,41,27356,0.00337
II,95,405,Manuel Gonzalez Ramos,Manuel González Ramos,PSOE,Socialista,83,27263,0.003359
II,96,304,Antonio Fernandez Bolaños Mora,Antonio Fernández-Bolaños Mora,PSOE,Socialista,48,25843,0.003184
II,97,612,Daniel Mondejar Funez,Daniel Mondéjar Fúnez,PRC,Liberales,138,25639,0.003159
II,98,841,Amos Sabras Gurrea,Amós Sabrás Gurrea,PSOE,Socialista,38,25565,0.00315
II,99,401,Emilio Gonzalez Lopez,Emilio González López,FRG,Galleguista,76,25519,0.003144
II,100,784,Manuel Rico Avello,Manuel Rico Avello,Centro,Centro,42,24860,0.003063
II,101,438,Jose Maria Hueso Ballester,José María Hueso Ballester,CEDA,Conservadores,64,24716,0.003045
II,102,39,Tomas Alonso De Armiño Y Calleja,Tomás Alonso de Armiño y Calleja,Agrarios,Agrarios,106,24234,0.002986
II,103,55,Basilio Alvarez Rodriguez,Basilio Álvarez Rodríguez,PRR,Republicanos,53,23952,0.002951
II,104,27,Nicolas Alcala Espinosa,Nicolás Alcalá Espinosa,PRR,Republicanos,39,23853,0.002939
II,105,705,Joaquin Pellicena Y Camacho,Joaquín Pellicena y Camacho,Lliga,Catder,54,23713,0.002922
II,106,290,Juan Estelrich Artigues,Juan Estelrich Artigues,Lliga,Catder,28,23598,0.002907
II,107,836,Amos Ruiz Lecina,Amós Ruiz Lecina,PSOE,Socialista,39,23485,0.002894
II,108,146,Fermin Blazquez Nieto,Fermín Blázquez Nieto,PSOE,Socialista,45,23380,0.002881
II,109,776,Joaquin Reig Y Rodriguez,Joaquín Reig y Rodríguez,Lliga,Catder,48,23234,0.002863
II,110,930,Antonio Taboada Tundidor,Antonio Taboada Tundidor,Agrarios,Conservadores,293,23019,0.002836
II,111,916,Felipe De Sola Y Cañizares,Felipe de Solá y Cañizares,Lliga,Catder,50,22853,0.002816
II,112,745,Manuel Portela Valladares,Manuel Portela Valladares,Centro,Liberales,69,22814,0.002811
II,113,579,Mariano Matesanz De La Torre,Mariano Matesanz de la Torre,Indep.,Conservadores,70,22762,0.002804
II,114,806,Adolfo Rodriguez Jurado Y De La Hera,Adolfo Rodríguez Jurado y de la Hera,Agrarios,Conservadores,69,22358,0.002755
II,115,683,Jesus Pabon Y Suarez De Urbina,Jesús Pabón y Suárez de Urbina,CEDA,Conservadores,37,22176,0.002732
II,116,133,Julian Besteiro Fernandez,Julián Besteiro Fernández,PSOE,Socialista,29,21978,0.002708
II,117,670,Andres Orozco Batista,Andrés Orozco Batista,PRR,Republicanos,24,21924,0.002701
II,118,455,Luis Jimenez De Asua,Luis Jiménez de Asúa,PSOE,Socialista,30,21884,0.002696
II,119,445,Jose Luis Illanes Del Rio,José Luis Illanes del Río,CEDA,Conservadores,83,21799,0.002686
II,120,847,Pedro Sainz Rodriguez,Pedro Sainz Rodríguez,RE,Derecha autoritaria,31,21641,0.002666
II,121,1000,Juan Simeon Vidarte Franco Romero,Juan Simeón Vidarte Franco-Romero,PSOE,Socialista,35,21579,0.002659
II,122,537,Andres Maroto Rodriguez De Vera,Andrés Maroto Rodríguez de Vera,CEDA,Conservadores,47,21288,0.002623
II,123,556,Jose Martinez De Velasco Escolar,José Martínez de Velasco Escolar,Agrarios,Agrarios,42,21031,0.002591
II,124,472,Ramon Lamoneda Fernandez,Ramón Lamoneda Fernández,PSOE,Socialista,42,20483,0.002524
II,125,865,Claudio Sanchez Albornoz Menduiña,Claudio Sánchez Albornoz Menduiña,AR,Republicanos,29,20321,0.002504
II,126,638,Jose Maria Moutas Meras,José María Moutas Merás,CEDA,Conservadores,33,20268,0.002497
II,127,558,Lucio Martinez Gil,Lucio Martínez Gil,PSOE,Socialista,36,20247,0.002495
II,128,296,Luis Fabrega Santamaria,Luis Fábrega Santamaría,PRR,Republicanos,97,20019,0.002467
II,129,347,Alejandro Gallart Y Folch,Alejandro Gallart y Folch,Lliga,Catder,34,20018,0.002466
II,130,604,Eduardo Molero Massa,Eduardo Molero Massá,PRC,Conservadores,44,19964,0.00246
II,131,47,Tomas Alvarez Angulo,Tomás Álvarez Angulo,PSOE,Socialista,68,19858,0.002447
II,132,653,Margarita Nelken Mansberger De Paul,Margarita Nelken Mansberger de Paúl,PSOE,Socialista,60,19429,0.002394
II,133,117,Francisco Bastos Ansart,Francisco Bastos Ansart,Lliga,Catder,37,19148,0.002359
II,134,44,Manuel Alonso Zapata,Manuel Alonso Zapata,PSOE,Socialista,81,18929,0.002332
II,135,142,Jose Blanco Rodriguez,José Blanco Rodríguez,Agrarios,Conservadores,37,18704,0.002304
II,136,517,Ramiro De Maeztu Whitney,Ramiro de Maeztu Whitney,RE,Derecha autoritaria,36,18678,0.002301
II,137,791,Fernando De Los Rios Urruti,Fernando de los Ríos Urruti,PSOE,Socialista,22,18670,0.0023
II,138,629,Francisco Moreno Herrera,Francisco Moreno Herrera,RE,Derecha autoritaria,107,18577,0.002289
II,139,88,Bernardo Aza Gonzalez Escalada,Bernardo Aza González Escalada,CEDA,Conservadores,90,18397,0.002267
II,140,741,Leandro Pita Romero,Leandro Pita Romero,PRR,Republicanos,24,18225,0.002245
II,141,261,Jose Diaz Ambrona Moreno,José Díaz Ambrona Moreno,PRC,Conservadores,43,17849,0.002199
II,142,618,Luis Montes Lopez De La Torre,Luis Montes López de la Torre,CEDA,Conservadores,33,17743,0.002186
II,143,582,Honorio Maura Gamazo,Honorio Maura Gamazo,RE,Derecha autoritaria,75,17661,0.002176
II,144,292,Francisco Estevanez Rodriguez,Francisco Estévanez Rodríguez,CT,Carlistas,12,17428,0.002147
II,145,816,Jose Romero Radigales,José Romero Radigales,Agrarios,Conservadores,65,17362,0.002139
II,146,691,Juan J. Palomino Jimenez,Juan J. Palomino Jiménez,CT,Carlistas,26,16668,0.002054
II,147,273,Tomas Dominguez Arevalo,Tomás Domínguez Arévalo,CT,Carlistas,43,16661,0.002053
II,148,144,Manuel Blasco Garzon,Manuel Blasco Garzón,PRR,Republicanos,49,16563,0.002041
II,149,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,Tomás Ortiz de Solórzano y Ortiz de la Puente,Agrarios,Agrarios,74,16422,0.002023
II,150,192,Geminiano Carrascal Martin,Geminiano Carrascal Martín,CEDA,Conservadores,8,16153,0.00199
II,151,648,Antonio Navajas Moreno,Antonio Navajas Moreno,Agrarios,Agrarios,62,16007,0.001972
II,152,352,Manuel Garcia Atance,Manuel García Atance,CEDA,Conservadores,37,15604,0.001923
II,153,40,Bruno Alonso Gonzalez,Bruno Alonso González,PSOE,Socialista,35,15523,0.001913
II,154,289,Jose Estadella Arno,José Estadella Arnó,PRR,Republicanos,32,15207,0.001874
II,155,9,Dimas Adanez Horcajuelo,Dimas Adánez Horcajuelo,CEDA,Conservadores,116,15191,0.001872
II,156,767,Pedro Rahola Y Molinas,Pedro Rahola y Molinas,Lliga,Catder,24,15097,0.00186
II,157,880,Casimiro De Sangenis Bertrand,Casimiro de Sangenís Bertrand,CT,Carlistas,19,14934,0.00184
II,158,803,Romualdo Rodriguez De Vera Y Romero,Romualdo Rodríguez de Vera y Romero,PSOE,Socialista,40,14923,0.001839
II,159,549,Jose Martinez Arenas,José Martínez Arenas,PRC,Conservadores,61,14897,0.001835
II,160,189,Juan Antonio De Careaga Y Andueza,Juan Antonio de Careaga y Andueza,PNV,Nacionalista Vasco,82,14791,0.001822
II,161,948,Matilde De La Torre Gutierrez,Matilde de la Torre Gutiérrez,PSOE,Socialista,10,14235,0.001754
II,162,415,Anastasio De Gracia Villarrubia,Anastasio de Gracia Villarrubia,PSOE,Socialista,8,14160,0.001745
II,163,611,Jose Moncasi Sangenis,José Moncasí Sangenís,Agrarios,Conservadores,17,13950,0.001719
II,164,446,Vicente Iranzo Enguita,Vicente Iranzo Enguita,Indep.,Republicanos,39,13923,0.001715
II,165,115,Severino Barros De Lis,Severino Barros de Lis,CEDA,Conservadores,52,13833,0.001704
II,166,136,Esteban Bilbao Y Eguia,Esteban Bilbao y Eguía,CT,Carlistas,12,13291,0.001638
II,167,642,Alfonso Muñoz De Diego,Alfonso Muñoz de Diego,LD,Liberales,23,13046,0.001607
II,168,968,Faustino Valentin Torrejon,Faustino Valentín Torrejón,PRR,Republicanos,35,12912,0.001591
II,169,80,Gregorio Arranz Olalla,Gregorio Arranz Olalla,PRC,Conservadores,12,12877,0.001587
II,170,666,Marcelino De Oreja Y Elosegui,Marcelino de Oreja y Elósegui,CT,Carlistas,30,12835,0.001581
II,171,957,Jose Maria Trias De Bes,José María Trías de Bes,Lliga,Catder,34,12537,0.001545
II,172,718,Alonso Perez Diaz,Alonso Pérez Díaz,PRR,Republicanos,26,12438,0.001532
II,173,187,Ramon Cantos Saiz De Carlos,Ramón Cantos Saiz de Carlos,PURA,Republicanos Autonomista,24,12067,0.001487
II,174,910,Manuel Sierra Pomares,Manuel Sierra Pomares,CEDA,Conservadores,26,11820,0.001456
II,175,171,Luciano De La Calzada Rodriguez,Luciano de la Calzada Rodríguez,CEDA,Conservadores,16,11780,0.001451
II,176,81,Mariano Arrazola Madera,Mariano Arrazola Madera,PRR,Republicanos,87,11751,0.001448
II,177,232,Jose Cimas Leal,José Cimas Leal,CEDA,Conservadores,40,11546,0.001423
II,178,944,Jose Tomas Piera,José Tomás y Piera,ERC,Catizq,53,11466,0.001413
II,179,332,Alvaro Figueroa Y Torres,Álvaro Figueroa y Torres,Indep.,Liberales,18,11461,0.001412
II,180,574,Jose Mascort Ribot,José Mascort Ribot,ERC,Catizq,29,11373,0.001401
II,181,19,Luis Alarcon De La Lastra,Luis Alarcón de la Lastra,Agrarios,Conservadores,8,11230,0.001384
II,182,610,Francisco Molto Pascual,Francisco Moltó Pascual,CEDA,Conservadores,23,11062,0.001363
II,183,687,Jose Alberto Palanca Y Martinez Fortun,José Alberto Palanca y Martínez Fortún,CEDA,Conservadores,30,10760,0.001326
II,184,454,Luis Jimenez Canga Arguelles,Luis Giménez Canga-Argüelles,CEDA,Conservadores,19,10744,0.001324
II,185,839,Luis Ruiz Valdepeñas Utrilla,Luis Ruiz Valdepeñas Utrilla,CEDA,Conservadores,31,10732,0.001322
II,186,1006,Filiberto Villalobos Gonzalez,Filiberto Villalobos González,LD,Liberales,22,10730,0.001322
II,187,436,Jose Horn Areilza,José Horn Areilza,PNV,Nacionalista Vasco,66,10678,0.001316
II,188,16,Jose Antonio Aguirre Y Lecube,José Antonio Aguirre y Lecube,PNV,Nacionalista Vasco,16,10294,0.001268
II,189,15,Manuel Aguillaume Valdes,Manuel Aguillaume Valdés,PSOE,Socialista,14,10033,0.001236
II,190,104,Luis Bardaji Lopez,Luis Bardají López,PRR,Republicanos,48,9999,0.001232
II,191,254,Enrique Cuartero Pascual,Enrique Cuartero Pascual,CEDA,Conservadores,29,9948,0.001226
II,192,829,Ramon Ruiz Alonso,Ramón Ruiz Alonso,CEDA,Conservadores,47,9638,0.001187
