id_V2,id_v3,tipo,a_nombre_de,palabras,comienzo
55221,61929,habla,Indalecio Prieto,2654,El señor García Hidalgo ha formulado ante la Cámara…
55221,61930,documento,COMENTARIOS,527,| PROVINCIAS | Carreteras y caminos vecinales. | Puertos.…
55221,61931,habla,Indalecio Prieto,1079,"Totales... 218.357.084,27 8.728.957 25,01 Es decir de 7,66 en…"
55221,61932,documento,COMENTARIOS,21111,DOCUMENTOS COMPLEMENTARIOS DEL DISCURSO DEL SEÑOR MINISTRO DE OBRAS…
25979,29041,presidencia,Julián Besteiro,10,El Sr. Presidente del Consejo de Ministros tiene la…
25979,29042,turno,Manuel Azaña,17142,"Es preciso reconocer, Sres. Diputados, que en esta campaña,…"
85330,96282,habla,Manuel Azaña,14131,"Señores Diputados, intervengo en esta discusión con un propósito…"
