fecha,num_session,legislatura,etapa,filas_con_lista,ids_V2
1932-11-23,263,1931-1933,I,1,40606
1932-11-24,264,1931-1933,I,1,40812
1932-11-29,266,1931-1933,I,1,41094
1932-12-01,268,1931-1933,I,2,41218 41269
1932-12-06,270,1931-1933,I,1,41520
1932-12-08,272,1931-1933,I,1,41731
1932-12-13,274,1931-1933,I,1,42106
1932-12-16,277,1931-1933,I,1,42798
1932-12-17,278,1931-1933,I,2,42824 42990
1932-12-18,279,1931-1933,I,2,43156 43178
1932-12-19,280,1931-1933,I,4,43235 43245 43253 43257
1932-12-20,281,1931-1933,I,1,43450
1932-12-21,282,1931-1933,I,2,43488 43583
1932-12-22,283,1931-1933,I,2,43860 43884
1932-12-23,284,1931-1933,I,3,44272 44370 44375
1932-12-27,285,1931-1933,I,2,44570 44589
1932-12-28,286,1931-1933,I,3,44665 44667 44682
1933-02-02,288,1931-1933,I,2,44967 44971
1933-02-07,290,1931-1933,I,1,45202
1933-02-08,291,1931-1933,I,1,45334
1933-02-09,292,1931-1933,I,2,45407 45479
1933-02-15,295,1931-1933,I,2,45694 45777
1933-02-16,296,1931-1933,I,6,45860 45914 45928 45933 45944 45956
1933-02-17,297,1931-1933,I,5,46015 46021 46030 46040 46056
1933-02-21,298,1931-1933,I,6,46136 46155 46172 46181 46209 46239
1933-02-24,301,1931-1933,I,1,46559
1933-03-02,304,1931-1933,I,1,46773
1933-03-08,307,1931-1933,I,4,47142 47160 47169 47196
1933-03-09,308,1931-1933,I,6,47231 47266 47298 47311 47369 47381
1933-03-10,309,1931-1933,I,3,47426 47476 47492
1933-03-14,310,1931-1933,I,7,47628 47638 47657 47665 47673 47692 47702
1933-03-15,311,1931-1933,I,3,47753 47758 47790
1933-03-16,312,1931-1933,I,1,47944
1933-03-17,313,1931-1933,I,3,47983 47992 47996
1933-03-21,314,1931-1933,I,5,48039 48061 48064 48089 48129
1933-03-22,315,1931-1933,I,5,48150 48165 48167 48175 48197
1933-03-24,317,1931-1933,I,3,48389 48407 48430
1933-03-28,318,1931-1933,I,4,48482 48488 48507 48518
