nombre_completo;legislatura;nombre;apellidos;distrito;partido;familia_partidos;ideologia;id_dip
Pedro Miñor Rivas;1933-1936;PEDRO;MIÑOR RIVAS;Oviedo;LD;Liberales;C;601
Alfonso Muñoz De Diego;1933-1936;ALFONSO;MUÑOZ DE DIEGO;Oviedo;LD;Liberales;C;642
Manuel Pedregal Fernandez;1936-1939;MANUEL;PEDREGAL FERNANDEZ;Oviedo;LD;Liberales;C;702
Manuel Pedregal Fernandez;1933-1936;MANUEL;PEDREGAL FERNANDEZ;Oviedo;LD;Liberales;C;702
Filiberto Villalobos Gonzalez;1931-1933;FILIBERTO;VILLALOBOS GONZALEZ;Salamanca;LD;Liberales;C;1006
Filiberto Villalobos Gonzalez;1933-1936;FILIBERTO;VILLALOBOS GONZALEZ;Salamanca;LD;Liberales;C;1006
Melquiades Alvarez Gonzalez Posada;1931-1933;MELQUIADES;ALVAREZ GONZALEZ POSADA;Valencia;LD;Liberales;C;50
Jose Acuña Y Gomez De La Torre;1936-1939;JOSE;ACUÑA Y GOMEZ DE LA TORRE;Jaén;Mesocrata;Liberales;C;8
Vicente Iranzo Enguita;1933-1936;VICENTE;IRANZO ENGUITA;Teruel;Independiente;Republicanos;C;446
Edmundo Alfaro Gironda;1931-1933;EDMUNDO;ALFARO GIRONDA;Albacete;PRR;Republicanos;C;32
Edmundo Alfaro Gironda;1933-1936;EDMUNDO;ALFARO GIRONDA;Albacete;PRR;Republicanos;C;32
Jose Maria Blanc Rodriguez;1933-1936;JOSE MARIA;BLANC RODRIGUEZ;Albacete;PRR;Republicanos;C;138
Roman Ochando Y Valera;1933-1936;ROMAN;OCHANDO Y VALERA;Albacete;PRR;Republicanos;C;663
Miguel De Camara Cendoya;1931-1933;MIGUEL DE;CAMARA CENDOYA;Alicante;PRR;Republicanos;C;172
Cesar Oarrichena Jenaro;1931-1933;CESAR;OARRICHENA JENARO;Alicante;PRR;Republicanos;C;662
Cesar Puig Martinez;1931-1933;CESAR;PUIG MARTINEZ;Alicante;PRR;Republicanos;C;760
Miguel De Camara Cendoya;1933-1936;MIGUEL DE;CAMARA CENDOYA;Alicante;PRR;Republicanos;C;172
Cesar Oarrichena Jenaro;1933-1936;CESAR;OARRICHENA JENARO;Alicante;PRR;Republicanos;C;662
Jose Maria Ruiz Perez Aguila;1933-1936;JOSE MARIA;RUIZ PEREZ AGUILA;Alicante;PRR;Republicanos;C;837
Antonio Tuñon De Lara;1931-1933;ANTONIO;TUÑÓN DE LARA;Almería;PRR;Republicanos;C;958
Matias Segui Tarrazo;1933-1936;MATIAS;SEGUI TARRAZO;Almería;PRR;Republicanos;C;897
Antonio Tuñon De Lara;1933-1936;ANTONIO;TUÑON DE LARA;Almería;PRR;Republicanos;C;958
Francisco Vega De La Iglesia Manteca;1933-1936;FRANCISCO;VEGA DE LA IGLESIA MANTECA;Almería;PRR;Republicanos;C;985
Francisco Agustin Rodriguez;1931-1933;FRANCISCO;AGUSTIN RODRIGUEZ;Ávila;PRR;Republicanos;C;17
Jose Picon Meilhon;1936-1939;JOSE;PICON MEILHON;Ávila;PRR;Republicanos;C;734
Diego Hidalgo Duran;1931-1933;DIEGO;HIDALGO DURAN;Badajoz;PRR;Republicanos;C;435
Rafael Salazar Alonso;1931-1933;RAFAEL;SALAZAR ALONSO;Badajoz;PRR;Republicanos;C;851
Antonio Arqueros Garrido;1933-1936;ANTONIO;ARQUEROS GARRIDO;Badajoz;PRR;Republicanos;C;79
Luis Bardaji Lopez;1933-1936;LUIS;BARDAJI LOPEZ;Badajoz;PRR;Republicanos;C;104
Luis Bardaji Lopez;1936-1939;LUIS;BARDAJI LOPEZ;Badajoz;PRR;Republicanos;C;104
Miguel Barquero Hidalgo Barquero;1933-1936;MIGUEL;BARQUERO HIDALGO BARQUERO;Badajoz;PRR;Republicanos;C;108
Manuel Carrascal Montero De Espinosa;1933-1936;MANUEL;CARRASCAL MONTERO DE ESPINOSA;Badajoz;PRR;Republicanos;C;193
Diego Hidalgo Duran;1933-1936;DIEGO;HIDALGO DURAN;Badajoz;PRR;Republicanos;C;435
Rafael Salazar Alonso;1933-1936;RAFAEL;SALAZAR ALONSO;Badajoz;PRR;Republicanos;C;851
Jose Teodoro Canet Menendez;1931-1933;JOSE TEODORO;CANET MENENDEZ;Baleares;PRR;Republicanos;C;180
Jose Teodoro Canet Menendez;1933-1936;JOSE TEODORO;CANET MENENDEZ;Baleares;PRR;Republicanos;C;180
