nombre_completo;legislatura;nombre;apellidos;distrito;partido;familia_partidos;ideologia;id_dip
Santiago Alba Bonifaz;1936-1939;SANTIAGO;ALBA BONIFAZ;Zamora;PRR;Republicanos;C;20
Santiago Alba Bonifaz;1933-1936;SANTIAGO;ALBA BONIFAZ;Zamora;PRR;Republicanos;C;20
Sebastian Banzo Urrea;1931-1933;SEBASTIAN;BANZO URREA;Zaragoza;PRR;Republicanos;C;102
Gil Gil Y Gil;1931-1933;GIL;GIL Y GIL;Zaragoza;PRR;Republicanos;C;382
Manuel Marraco Ramon;1931-1933;MANUEL;MARRACO RAMON;Zaragoza;PRR;Republicanos;C;538
Basilio Paraiso Labad;1931-1933;BASILIO;PARAISO LABAD;Zaragoza;PRR;Republicanos;C;693
Dario Perez Garcia;1931-1933;DARIO;PEREZ GARCIA;Zaragoza;PRR;Republicanos;C;719
Mariano Gaspar Lausin;1933-1936;MARIANO;GASPAR LAUSIN;Zaragoza;PRR;Republicanos;C;374
Ernesto Montes Azcona;1933-1936;ERNESTO;MONTES AZCONA;Zaragoza;PRR;Republicanos;C;616
Basilio Paraiso Labad;1933-1936;BASILIO;PARAISO LABAD;Zaragoza;PRR;Republicanos;C;693
Dario Perez Garcia;1933-1936;DARIO;PEREZ GARCIA;Zaragoza;PRR;Republicanos;C;719
Andres Orozco Batista;1931-1933;ANDRES;OROZCO BATISTA;Santa Cruz de Tenerife;PRR;Republicanos;C;670
Hector Altabas Alio;1931-1933;HECTOR;ALTABAS ALIO;Valencia;PURA;Republicanos;C;45
Sigfrido Blasco Blasco;1931-1933;SIGFRIDO;BLASCO BLASCO;Valencia;PURA;Republicanos;C;143
Juan Calot Sanz;1931-1933;JUAN;CALOT SANZ;Valencia;PURA;Republicanos;C;167
Gerardo Carreres Bayarri;1931-1933;GERARDO;CARRERES BAYARRI;Valencia;PURA;Republicanos;C;199
Jose Garcia Berlanga Pardo;1931-1933;JOSE;GARCIA BERLANGA PARDO;Valencia;PURA;Republicanos;C;354
Joaquin Garcia Ribes;1931-1933;JOAQUIN;GARCIA RIBES;Valencia;PURA;Republicanos;C;368
Julio Just Gimeno;1931-1933;JULIO;JUST GIMENO;Valencia;PURA;Republicanos;C;466
Jose Manteca Roger;1931-1933;JOSE;MANTECA ROGER;Valencia;PURA;Republicanos;C;524
Vicente Marco Miranda;1931-1933;VICENTE;MARCO MIRANDA;Valencia;PURA;Republicanos;C;529
Ricardo Samper Ibañez;1931-1933;RICARDO;SAMPER IBAÑEZ;Valencia;PURA;Republicanos;C;863
Gerardo Carreres Bayarri;1933-1936;GERARDO;CARRERES BAYARRI;Valencia;PURA;Republicanos;C;199
Juan Chabret Bru;1933-1936;JUAN;CHABRET BRU;Valencia;PURA;Republicanos;C;227
Jose Garcia Berlanga Pardo;1933-1936;JOSE;GARCIA BERLANGA PARDO;Valencia;PURA;Republicanos;C;354
Julio Just Gimeno;1933-1936;JULIO;JUST GIMENO;Valencia;PURA;Republicanos;C;466
Sigfrido Blasco Blasco;1933-1936;SIGFRIDO;BLASCO BLASCO;Valencia;PURA;Republicanos;C;143
Ramon Cantos Saiz De Carlos;1933-1936;RAMON;CANTOS SAIZ DE CARLOS;Valencia;PURA;Republicanos;C;187
Vicente Lambies Grancha;1933-1936;VICENTE;LAMBIES GRANCHA;Valencia;PURA;Republicanos;C;471
Vicente Marco Miranda;1933-1936;VICENTE;MARCO MIRANDA;Valencia;PURA;Republicanos;C;529
Pascual Martinez Sala;1933-1936;PASCUAL;MARTINEZ SALA;Valencia;PURA;Republicanos;C;570
Vicente De Roig Ibañez;1933-1936;VICENTE DE;ROIG IBAÑEZ;Valencia;PURA;Republicanos;C;810
Ricardo Samper Ibañez;1933-1936;RICARDO;SAMPER IBAÑEZ;Valencia;PURA;Republicanos;C;863
Luis Garcia Y Garcia Lozano;1931-1933;LUIS;GARCIA Y GARCIA LOZANO;Burgos;PRR;Republicanos;C;372
Pedro Acacio Sandoval;1933-1936;PEDRO;ACACIO SANDOVAL;Albacete;Agrarios;Agrario;CD;4
Mateo Sanchez Rovira;1936-1939;MATEO;SANCHEZ ROVIRA;Albacete;Agrarios;Agrario;CD;875
Angel Torres Alonso;1931-1933;ANGEL;TORRES ALONSO;Ávila;Agrarios;Agrario;CD;951
Nicasio Velayos Y Velayos;1931-1933;NICASIO;VELAYOS Y VELAYOS;Ávila;Agrarios;Agrario;CD;991
Nicasio Velayos Y Velayos;1936-1939;NICASIO;VELAYOS Y VELAYOS;Ávila;Agrarios;Agrario;CD;991
Nicasio Velayos Y Velayos;1933-1936;NICASIO;VELAYOS Y VELAYOS;Ávila;Agrarios;Agrario;CD;991
Tomas Alonso De Armiño Y Calleja;1933-1936;TOMAS;ALONSO DE ARMIÑO Y CALLEJA;Burgos;Agrarios;Agrario;CD;39
Tomas Alonso De Armiño Y Calleja;1931-1933;TOMAS;ALONSO DE ARMIÑO Y CALLEJA;Burgos;Agrarios;Agrario;CD;39
Ramon De La Cuesta Y Cobo De La Torre;1933-1936;RAMON DE LA;CUESTA Y COBO DE LA TORRE;Burgos;Agrarios;Agrario;CD;255
Ramon De La Cuesta Y Cobo De La Torre;1931-1933;RAMON DE LA;CUESTA Y COBO DE LA TORRE;Burgos;Agrarios;Agrario;CD;255
Angel Garcia Vedoya;1933-1936;ANGEL;GARCIA VEDOYA;Burgos;Agrarios;Agrario;CD;371
Aurelio Gomez Gonzalez;1933-1936;AURELIO;GOMEZ GONZALEZ;Burgos;Agrarios;Agrario;CD;388
Aurelio Gomez Gonzalez;1931-1933;AURELIO;GOMEZ GONZALEZ;Burgos;Agrarios;Agrario;CD;388
Jose Martinez De Velasco Escolar;1933-1936;JOSE;MARTINEZ DE VELASCO ESCOLAR;Burgos;Agrarios;Agrario;CD;556
Jose Martinez De Velasco Escolar;1931-1933;JOSE;MARTINEZ DE VELASCO ESCOLAR;Burgos;Agrarios;Agrario;CD;556
Antonio Navajas Moreno;1933-1936;ANTONIO;NAVAJAS MORENO;Córdoba;Agrarios;Agrario;CD;648
Jose Blanco Rodriguez;1936-1939;JOSE;BLANCO RODRIGUEZ;Jaén;Agrarios;Agrario;CD;142
Antonio Perez Crespo;1936-1939;ANTONIO;PEREZ CRESPO;León;Agrarios;Agrario;CD;713
Manuel Saenz De Miera Millan;1936-1939;MANUEL;SAENZ DE MIERA MILLAN;León;Agrarios;Agrario;CD;845
Tomas Ortiz De Solorzano Y Ortiz De La Puente;1933-1936;TOMAS;ORTIZ DE SOLORZANO Y ORTIZ DE LA PUENTE;Logroño;Agrarios;Agrario;CD;674
Luis Rodriguez De Viguri;1936-1939;LUIS;RODRIGUEZ DE VIGURI;Lugo;Agrarios;Agrario;CD;804
Angel Fernandez Ruano;1933-1936;ANGEL;FERNANDEZ RUANO;Málaga;Agrarios;Agrario;CD;321
Tomas Maestre Zapata;1933-1936;TOMAS;MAESTRE ZAPATA;Murcia;Agrarios;Agrario;CD;515
Antonio Taboada Tundidor;1936-1939;ANTONIO;TABOADA TUNDIDOR;Orense;Agrarios;Agrario;CD;930
Julio Gonzalez Sandoval Mogollon;1933-1936;JULIO;GONZALEZ SANDOVAL MOGOLLON;Toledo;Agrarios;Agrario;CD;406
Jesus Salvador Madero Ortiz Cicuendez;1933-1936;JESUS SALVADOR;MADERO ORTIZ CICUENDEZ;Toledo;Agrarios;Agrario;CD;514
Luis Felipe Sanchez Cabezudo Salanova;1936-1939;LUIS FELIPE;SANCHEZ CABEZUDO SALANOVA;Toledo;Agrarios;Agrario;CD;867
Jose Maria Cid Ruiz Zorrilla;1936-1939;JOSE MARIA;CID RUIZ ZORRILLA;Zamora;Agrarios;Agrario;CD;231
Antonio Rodriguez Cid;1936-1939;ANTONIO;RODRIGUEZ CID;Zamora;Agrarios;Agrario;CD;802
Ramon Serrano Suñer;1933-1936;RAMON;SERRANO SUÑER;Zaragoza;Agrarios;Agrario;CD;908
Joaquin Fanjul Goñi;1931-1933;JOAQUIN;FANJUL GOÑI;Cuenca;Agrarios;Agrario;CD;298
Joaquin Fanjul Goñi;1933-1936;JOAQUIN;FANJUL GOÑI;Cuenca;Agrarios;Agrario;CD;298
Modesto Gosalvez Fuentes Manresa;1933-1936;MODESTO;GOSALVEZ FUENTES MANRESA;Cuenca;Agrarios;Agrario;CD;414
Modesto Gosalvez Fuentes Manresa;1936-1939;MODESTO;GOSALVEZ FUENTES MANRESA;Cuenca;Agrarios;Agrario;CD;414
Joaquin Fanjul Goñi;1936-1939;JOAQUIN;FANJUL GOÑI;Cuenca;Agrarios;Agrario;CD;298
Francisco Gonzalez Carrascosa;1936-1939;FRANCISCO;GONZALEZ CARRASCOSA;Granada;Agrarios;Agrario;CD;397
Jose Moncasi Sangenis;1933-1936;JOSE;MONCASI SANGENIS;Huelva;Agrarios;Agrario;CD;611
Jose Romero Radigales;1933-1936;JOSE;ROMERO RADIGALES;Huelva;Agrarios;Agrario;CD;816
Lorenzo Vidal Tolosana;1933-1936;LORENZO;VIDAL TOLOSANA;Huelva;Agrarios;Agrario;CD;999
Leon Carlos Alvarez Lara;1933-1936;LEON CARLOS;ALVAREZ LARA;Jaén;Agrarios;Agrario;CD;51
Jose Blanco Rodriguez;1933-1936;JOSE;BLANCO RODRIGUEZ;Jaén;Agrarios;Agrario;CD;142
Jose Cos Serrano;1933-1936;JOSE;COS SERRANO;Jaén;Agrarios;Agrario;CD;248
Antonio Perez Crespo;1933-1936;ANTONIO;PEREZ CRESPO;León;Agrarios;Agrario;CD;713
Manuel Saenz De Miera Millan;1933-1936;MANUEL;SAENZ DE MIERA MILLAN;León;Agrarios;Agrario;CD;845
Luis Rodriguez De Viguri;1933-1936;LUIS;RODRIGUEZ DE VIGURI;Lugo;Agrarios;Agrario;CD;804
Adolfo Rodriguez Jurado Y De La Hera;1933-1936;ADOLFO;RODRIGUEZ JURADO Y DE LA HERA;Madrid;Agrarios;Agrario;CD;806
Abilio Calderon Rojo;1931-1933;ABILIO;CALDERON ROJO;Palencia;Agrarios;Agrario;CD;166
Abilio Calderon Rojo;1933-1936;ABILIO;CALDERON ROJO;Palencia;Agrarios;Agrario;CD;166
Alfredo Garcia Ramos;1933-1936;ALFREDO;GARCIA RAMOS;Pontevedra;Agrarios;Agrario;CD;366
Candido Casanueva Y Gorjon;1931-1933;CANDIDO;CASANUEVA Y GORJON;Salamanca;Agrarios;Agrario;CD;208
Ernesto Castaño Arevalo;1933-1936;ERNESTO;CASTAÑO AREVALO;Salamanca;Agrarios;Agrario;CD;213
Eduardo Perez Del Molino Herrera;1933-1936;EDUARDO;PEREZ DEL MOLINO HERRERA;Santander;Agrarios;Agrario;CD;717
Rufino Cano De Rueda;1933-1936;RUFINO;CANO DE RUEDA;Segovia;Agrarios;Agrario;CD;183
Juan De Contreras Y Lopez De Ayala;1933-1936;JUAN DE;CONTRERAS Y LOPEZ DE AYALA;Segovia;Agrarios;Agrario;CD;241
Mariano Fernandez De Cordoba Y Castrillo;1933-1936;MARIANO;FERNANDEZ DE CORDOBA Y CASTRILLO;Segovia;Agrarios;Agrario;CD;307
Luis Alarcon De La Lastra;1933-1936;LUIS;ALARCON DE LA LASTRA;Sevilla;Agrarios;Agrario;CD;19
Luis Amores Jimenez;1933-1936;LUIS;AMORES JIMENEZ;Sevilla;Agrarios;Agrario;CD;62
Jaime Oriol De La Puerta;1933-1936;JAIME;ORIOL DE LA PUERTA;Sevilla;Agrarios;Agrario;CD;668
Jose Martinez De Azagra;1933-1936;JOSE;MARTINEZ DE AZAGRA;Soria;Agrarios;Agrario;CD;553
Cayetano Vilella Puig;1933-1936;CAYETANO;VILELLA PUIG;Tarragona;Agrarios;Agrario;CD;1004
Leopoldo Igual Padilla;1933-1936;LEOPOLDO;IGUAL PADILLA;Teruel;Agrarios;Agrario;CD;444
Felix Avia Garcia;1933-1936;FELIX;AVIA GARCIA;Toledo;Agrarios;Agrario;CD;84
Constantino Vega Gregorio;1933-1936;CONSTANTINO;VEGA GREGORIO;Toledo;Agrarios;Agrario;CD;986
Pedro Martin Y Martin;1931-1933;PEDRO;MARTIN Y MARTIN;Valladolid;Agrarios;Agrario;CD;548
Antonio Royo Villanova Morales;1931-1933;ANTONIO;ROYO VILLANOVA MORALES;Valladolid;Agrarios;Agrario;CD;821
Blas Cantalapiedra Gutierrez;1933-1936;BLAS;CANTALAPIEDRA GUTIERREZ;Valladolid;Agrarios;Agrario;CD;185
Pedro Martin Y Martin;1933-1936;PEDRO;MARTIN Y MARTIN;Valladolid;Agrarios;Agrario;CD;548
Antonio Royo Villanova Morales;1933-1936;ANTONIO;ROYO VILLANOVA MORALES;Valladolid;Agrarios;Agrario;CD;821
Jose Maria Cid Ruiz Zorrilla;1931-1933;JOSE MARIA;CID RUIZ ZORRILLA;Zamora;Agrarios;Agrario;CD;231
Jose Maria Cid Ruiz Zorrilla;1933-1936;JOSE MARIA;CID RUIZ ZORRILLA;Zamora;Agrarios;Agrario;CD;231
Vicente Tome Prieto;1933-1936;VICENTE;TOME PRIETO;Zamora;Agrarios;Agrario;CD;946
Daniel Mondejar Funez;1936-1939;DANIEL;MONDEJAR FUNEZ;Ciudad Real;Agrarios;Agrario;CD;612
Raimundo De Abadal Caldero;1931-1933;RAIMUNDO DE;ABADAL CALDERO;Barcelona;Lliga;Catalanista de derecha;CD;2
Francisco Bastos Ansart;1933-1936;FRANCISCO;BASTOS ANSART;Barcelona;Lliga;Catalanista de derecha;CD;117
Francisco De Asis Cambo Y Batlle;1933-1936;FRANCISCO DE ASIS;CAMBO Y BATLLE;Barcelona;Lliga;Catalanista de derecha;CD;173
Antonio Gabarro Y Torres;1933-1936;ANTONIO;GABARRO Y TORRES;Barcelona;Lliga;Catalanista de derecha;CD;343
Alejandro Gallart Y Folch;1933-1936;ALEJANDRO;GALLART Y FOLCH;Barcelona;Lliga;Catalanista de derecha;CD;347
Joaquin Maria De Nadal Y Ferrer;1933-1936;JOAQUIN MARIA DE;NADAL Y FERRER;Barcelona;Lliga;Catalanista de derecha;CD;647
Joaquin Pellicena Y Camacho;1933-1936;JOAQUIN;PELLICENA Y CAMACHO;Barcelona;Lliga;Catalanista de derecha;CD;705
Francisco Pons Y Pla;1933-1936;FRANCISCO;PONS Y PLA;Barcelona;Lliga;Catalanista de derecha;CD;744
Luis Puig De La Bellacasa Y Deu;1936-1939;LUIS;PUIG DE LA BELLACASA Y DEU;Barcelona;Lliga;Catalanista de derecha;CD;758
Luis Puig De La Bellacasa Y Deu;1933-1936;LUIS;PUIG DE LA BELLACASA Y DEU;Barcelona;Lliga;Catalanista de derecha;CD;758
Pedro Rahola Y Molinas;1931-1933;PEDRO;RAHOLA Y MOLINAS;Barcelona;Lliga;Catalanista de derecha;CD;767
Pedro Rahola Y Molinas;1933-1936;PEDRO;RAHOLA Y MOLINAS;Barcelona;Lliga;Catalanista de derecha;CD;767
Pedro Rahola Y Molinas;1936-1939;PEDRO;RAHOLA Y MOLINAS;Barcelona;Lliga;Catalanista de derecha;CD;767
Joaquin Reig Y Rodriguez;1933-1936;JOAQUIN;REIG Y RODRIGUEZ;Barcelona;Lliga;Catalanista de derecha;CD;776
Felipe Rodes Baldrich;1936-1939;FELIPE;RODES BALDRICH;Barcelona;Lliga;Catalanista de derecha;CD;799
Francisco Salvans Armengol;1933-1936;FRANCISCO;SALVANS ARMENGOL;Barcelona;Lliga;Catalanista de derecha;CD;861
Felipe De Sola Y Cañizares;1933-1936;FELIPE DE;SOLA Y CAÑIZARES;Barcelona;Lliga;Catalanista de derecha;CD;916
Vicente Sole De Sojo;1933-1936;VICENTE;SOLE DE SOJO;Barcelona;Lliga;Catalanista de derecha;CD;918
Jose Maria Trias De Bes;1933-1936;JOSE MARIA;TRIAS DE BES;Barcelona;Lliga;Catalanista de derecha;CD;957
Jose Maria Trias De Bes;1936-1939;JOSE MARIA;TRIAS DE BES;Barcelona;Lliga;Catalanista de derecha;CD;957
Fernando Valls Taberner;1936-1939;FERNANDO;VALLS TABERNER;Barcelona;Lliga;Catalanista de derecha;CD;974
Juan Ventosa Calvell;1936-1939;JUAN;VENTOSA CALVELL;Barcelona;Lliga;Catalanista de derecha;CD;993
Juan Ventosa Calvell;1933-1936;JUAN;VENTOSA CALVELL;Barcelona;Lliga;Catalanista de derecha;CD;993
Miguel Vidal Guardiola;1936-1939;MIGUEL;VIDAL GUARDIOLA;Barcelona;Lliga;Catalanista de derecha;CD;998
Miguel Vidal Guardiola;1933-1936;MIGUEL;VIDAL GUARDIOLA;Barcelona;Lliga;Catalanista de derecha;CD;998
Manuel Carrasco Y Formiguera;1931-1933;MANUEL;CARRASCO Y FORMIGUERA;Gerona;Lliga;Catalanista de derecha;CD;195
Carlos Badia Malagrida;1933-1936;CARLOS;BADIA MALAGRIDA;Gerona;Lliga;Catalanista de derecha;CD;96
Carlos Badia Malagrida;1936-1939;CARLOS;BADIA MALAGRIDA;Gerona;Lliga;Catalanista de derecha;CD;96
Juan Estelrich Artigues;1933-1936;JUAN;ESTELRICH ARTIGUES;Gerona;Lliga;Catalanista de derecha;CD;290
Juan Estelrich Artigues;1931-1933;JUAN;ESTELRICH ARTIGUES;Gerona;Lliga;Catalanista de derecha;CD;290
Juan Estelrich Artigues;1936-1939;JUAN;ESTELRICH ARTIGUES;Gerona;Lliga;Catalanista de derecha;CD;290
Luis Piñol Agullo;1933-1936;LUIS;PIÑOL AGULLO;Lérida;Lliga;Catalanista de derecha;CD;738
Manuel Florensa Farre;1933-1936;MANUEL;FLORENSA FARRE;Lérida;Lliga;Catalanista de derecha;CD;334
Manuel Florensa Farre;1936-1939;MANUEL;FLORENSA FARRE;Lérida;Lliga;Catalanista de derecha;CD;334
Luis Massot Balaguer;1933-1936;LUIS;MASSOT BALAGUER;Lérida;Lliga;Catalanista de derecha;CD;576
Luis Piñol Agullo;1936-1939;LUIS;PIÑOL AGULLO;Lérida;Lliga;Catalanista de derecha;CD;738
Jose Maria Casabo Torras;1933-1936;JOSE MARIA;CASABO TORRAS;Tarragona;Lliga;Catalanista de derecha;CD;203
Jose Maria Casabo Torras;1936-1939;JOSE MARIA;CASABO TORRAS;Tarragona;Lliga;Catalanista de derecha;CD;203
Jose Mullerat Soldevilla;1933-1936;JOSE;MULLERAT SOLDEVILLA;Tarragona;Lliga;Catalanista de derecha;CD;641
Tomas Ortiz De Solorzano Y Ortiz De La Puente;1931-1933;TOMAS;ORTIZ DE SOLORZANO Y ORTIZ DE LA PUENTE;Logroño;CEDA;Conservadores;CD;674
Juan Martinez Ortiz;1933-1936;JUAN;MARTINEZ ORTIZ;Albacete;PRC;Conservadores;CD;566
Jose Martinez Arenas;1933-1936;JOSE;MARTINEZ ARENAS;Alicante;PRC;Conservadores;CD;549
Fermin Daza Diaz Del Castillo;1933-1936;FERMIN;DAZA DIAZ DEL CASTILLO;Badajoz;PRC;Conservadores;CD;257
Jose Diaz Ambrona Moreno;1933-1936;JOSE;DIAZ AMBRONA MORENO;Badajoz;PRC;Conservadores;CD;261
Dionisio Cano Lopez;1933-1936;DIONISIO;CANO LOPEZ;Huelva;PRC;Conservadores;CD;184
Francisco Perez De Guzman Y Urzaiz;1933-1936;FRANCISCO;PEREZ DE GUZMAN Y URZAIZ;Huelva;PRC;Conservadores;CD;715
Enrique Del Castillo Folache;1933-1936;ENRIQUE DEL;CASTILLO FOLACHE;Jaén;PRC;Conservadores;CD;217
Jenaro Navarro Lopez;1933-1936;JENARO;NAVARRO LOPEZ;Jaén;PRC;Conservadores;CD;650
Enrique Gomez Jimenez;1936-1939;ENRIQUE;GOMEZ JIMENEZ;Lugo;PRC;Conservadores;CD;390
Enrique Gomez Jimenez;1933-1936;ENRIQUE;GOMEZ JIMENEZ;Lugo;PRC;Conservadores;CD;390
Luis Recasens Siches;1933-1936;LUIS;RECASENS SICHES;Lugo;PRC;Conservadores;CD;774
Fernando Villamarin Rodriguez;1933-1936;FERNANDO;VILLAMARIN RODRIGUEZ;Pontevedra;PRC;Conservadores;CD;1009
Miguel Garcia Bravo Ferrer;1933-1936;MIGUEL;GARCIA BRAVO FERRER;Sevilla;PRC;Conservadores;CD;356
Gregorio Arranz Olalla;1936-1939;GREGORIO;ARRANZ OLALLA;Soria;PRC;Conservadores;CD;80
Miguel Maura Gamazo;1936-1939;MIGUEL;MAURA GAMAZO;Soria;PRC;Conservadores;CD;581
Gregorio Arranz Olalla;1933-1936;GREGORIO;ARRANZ OLALLA;Soria;PRC;Conservadores;CD;80
Eduardo Molero Massa;1933-1936;EDUARDO;MOLERO MASSA;Valencia;PRC;Conservadores;CD;604
Francisco Gonzalez Garcia;1933-1936;FRANCISCO;GONZALEZ GARCIA;Zamora;PRC;Conservadores;CD;400
Miguel Maura Gamazo;1933-1936;MIGUEL;MAURA GAMAZO;Zamora;PRC;Conservadores;CD;581
Daniel Mondejar Funez;1933-1936;DANIEL;MONDEJAR FUNEZ;Ciudad Real;PRC;Conservadores;CD;612
Jose Reino Caamaño;1933-1936;JOSE;REINO CAAMAÑO;Coruña (La);PRC;Conservadores;CD;777
Joaquin Chapaprieta Y Torregrosa;1933-1936;JOAQUIN;CHAPAPRIETA Y TORREGROSA;Alicante;RI;Conservadores;CD;229
Joaquin Chapaprieta Y Torregrosa;1936-1939;JOAQUIN;CHAPAPRIETA Y TORREGROSA;Alicante;RI;Conservadores;CD;229
Alvaro De Albornoz Y Liminiana;1936-1939;ALVARO DE;ALBORNOZ Y LIMINIANA;Oviedo;Independiente;Independiente;CD;26
Rogelio Perez Burgos;1931-1933;ROGELIO;PEREZ BURGOS;Almería;DLR;Liberales;CD;712
Gustavo Pittaluga Fattorini;1931-1933;GUSTAVO;PITTALUGA FATTORINI;Badajoz;DLR;Liberales;CD;742
Francisco Aramburu E Inda;1931-1933;FRANCISCO;ARAMBURU E INDA;Cádiz;DLR;Liberales;CD;69
Vicente Sales Musoles;1931-1933;VICENTE;SALES MUSOLES;Castellón;DLR;Liberales;CD;852
Manuel Osorio Florit;1931-1933;MANUEL;OSORIO FLORIT;Ciudad Real;DLR;Liberales;CD;675
Cirilo Del Rio Rodriguez;1931-1933;CIRILO DEL;RIO RODRIGUEZ;Ciudad Real;DLR;Liberales;CD;790
Carlos Blanco Perez;1931-1933;CARLOS;BLANCO PEREZ;Cuenca;DLR;Liberales;CD;140
Jose Sanchez Covisa Y Sanchez Covisa;1931-1933;JOSE;SANCHEZ COVISA Y SANCHEZ COVISA;Cuenca;DLR;Liberales;CD;868
Jose Ayats Surribas;1931-1933;JOSE;AYATS SURRIBAS;Gerona;DLR;Liberales;CD;85
Niceto Alcala Zamora Y Torres;1931-1933;NICETO;ALCALA ZAMORA Y TORRES;Jaén;DLR;Liberales;CD;28
Federico Del Castillo Extremera;1931-1933;FEDERICO DEL;CASTILLO EXTREMERA;Jaén;DLR;Liberales;CD;216
Enrique Del Castillo Folache;1931-1933;ENRIQUE DEL;CASTILLO FOLACHE;Jaén;DLR;Liberales;CD;217
Juan Castrillo Santos;1931-1933;JUAN;CASTRILLO SANTOS;León;DLR;Liberales;CD;218
Enrique Gomez Jimenez;1931-1933;ENRIQUE;GOMEZ JIMENEZ;Lugo;DLR;Liberales;CD;390
Luis Recasens Siches;1931-1933;LUIS;RECASENS SICHES;Lugo;DLR;Liberales;CD;774
Cesar Juarros Ortega;1931-1933;CESAR;JUARROS ORTEGA;Madrid;DLR;Liberales;CD;462
Jose Maria Roldan Sanchez De La Fuente;1931-1933;JOSE MARIA;ROLDAN SANCHEZ DE LA FUENTE;Málaga;DLR;Liberales;CD;813
Julian Ayesta Manchola;1931-1933;JULIAN;AYESTA MANCHOLA;Oviedo;DLR;Liberales;CD;86
Cesar Gusano Rodriguez;1931-1933;CESAR;GUSANO RODRIGUEZ;Palencia;DLR;Liberales;CD;427
Laureano Gomez Paratcha;1931-1933;LAUREANO;GOMEZ PARATCHA;Pontevedra;DLR;Liberales;CD;392
Tomas Marcos Escribano;1931-1933;TOMAS;MARCOS ESCRIBANO;Salamanca;DLR;Liberales;CD;531
Jose Centeno Gonzalez;1931-1933;JOSE;CENTENO GONZALEZ;Sevilla;DLR;Liberales;CD;224
Manuel Figueroa Rojas;1936-1939;MANUEL;FIGUEROA ROJAS;Sevilla;DLR;Liberales;CD;330
Federico Fernandez Castillejo;1931-1933;FEDERICO;FERNANDEZ CASTILLEJO;Sevilla;DLR;Liberales;CD;305
Gregorio Arranz Olalla;1931-1933;GREGORIO;ARRANZ OLALLA;Soria;DLR;Liberales;CD;80
Miguel Maura Gamazo;1931-1933;MIGUEL;MAURA GAMAZO;Zamora;DLR;Liberales;CD;581
Antonio Jaen Morente;1931-1933;ANTONIO;JAEN MORENTE;Córdoba;DLR;Liberales;CD;450
Jose Reino Caamaño;1931-1933;JOSE;REINO CAAMAÑO;Coruña (La);DLR;Liberales;CD;777
Luis Cornide Quiroga;1931-1933;LUIS;CORNIDE QUIROGA;Coruña (La);Independiente;Liberales;CD;244
Alvaro Figueroa Y Torres;1933-1936;ALVARO;FIGUEROA Y TORRES;Guadalajara;Independiente;Liberales;CD;332
Alvaro Figueroa Y Torres;1936-1939;ALVARO;FIGUEROA Y TORRES;Guadalajara;Independiente;Liberales;CD;332
Angel Osorio Gallardo;1931-1933;ANGEL;OSORIO GALLARDO;Madrid;Independiente;Liberales;CD;676
Santiago Alba Bonifaz;1931-1933;SANTIAGO;ALBA BONIFAZ;Zamora;Independiente;Liberales;CD;20
Luis Cornide Quiroga;1936-1939;LUIS;CORNIDE QUIROGA;Coruña (La);Independiente;Liberales;CD;244
Alvaro Figueroa Y Torres;1931-1933;ALVARO;FIGUEROA Y TORRES;Guadalajara;Liberal Monárquico;Liberales;CD;332
Leopoldo Lopez Y Lopez;1936-1939;LEOPOLDO;LOPEZ Y LOPEZ;Albacete;PRP;Liberales;CD;504
Cirilo Del Rio Rodriguez;1933-1936;CIRILO DEL;RIO RODRIGUEZ;Ciudad Real;PRP;Liberales;CD;790
Rafael Delgado Benitez;1936-1939;RAFAEL;DELGADO BENITEZ;Córdoba;PRP;Liberales;CD;258
Federico Fernandez Castillejo;1936-1939;FEDERICO;FERNANDEZ CASTILLEJO;Córdoba;PRP;Liberales;CD;305
Jose Tomas Rubio Chavarri;1936-1939;JOSE TOMAS;RUBIO CHAVARRI;Córdoba;PRP;Liberales;CD;823
Federico Fernandez Castillejo;1933-1936;FEDERICO;FERNANDEZ CASTILLEJO;Córdoba;PRP;Liberales;CD;305
Jose Tomas Rubio Chavarri;1933-1936;JOSE TOMAS;RUBIO CHAVARRI;Córdoba;PRP;Liberales;CD;823
Gonzalo Muñoz Ruiz;1936-1939;GONZALO;MUÑOZ RUIZ;Granada;PRP;Liberales;CD;645
Joaquin De Urzaiz Y Cadaval;1936-1939;JOAQUIN DE;URZAIZ Y CADAVAL;Huelva;PRP;Liberales;CD;964
Jose Maria Roldan Sanchez De La Fuente;1936-1939;JOSE MARIA;ROLDAN SANCHEZ DE LA FUENTE;Málaga;PRP;Liberales;CD;813
Francisco Javier De Landaburu Fernandez De Betoño;1933-1936;FRANCISCO JAVIER DE;LANDABURU FERNANDEZ DE BETOÑO;Álava;PNV;Nacionalista Vasco;CD;474
Jesus Maria Leizaola Sanchez;1931-1933;JESUS MARIA;LEIZAOLA SANCHEZ;Guipúzcoa;PNV;Nacionalista Vasco;CD;485
Rafael Picavea Leguia;1931-1933;RAFAEL;PICAVEA LEGUIA;Guipúzcoa;PNV;Nacionalista Vasco;CD;733
Juan Antonio Irazusta Muñoa;1933-1936;JUAN ANTONIO;IRAZUSTA MUÑOA;Guipúzcoa;PNV;Nacionalista Vasco;CD;447
Juan Antonio Irazusta Muñoa;1936-1939;JUAN ANTONIO;IRAZUSTA MUÑOA;Guipúzcoa;PNV;Nacionalista Vasco;CD;447
