id_medida,id_legislature,id_dip1,name_dip1,id_dip2,name_dip2,ideo_dip1,ideo_dip2
5,1931-1933,18,Rafael Aizpun Santafe,388,Aurelio Gomez Gonzalez,D,CD
5,1931-1933,18,Rafael Aizpun Santafe,421,Santiago Guallar Poza,D,D
5,1931-1933,18,Rafael Aizpun Santafe,436,Jose Horn Areilza,D,CD
5,1931-1933,18,Rafael Aizpun Santafe,607,Ramon Molina Nieto,D,D
5,1931-1933,18,Rafael Aizpun Santafe,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,D,CD
5,1931-1933,18,Rafael Aizpun Santafe,821,Antonio Royo Villanova Morales,D,CD
5,1931-1933,388,Aurelio Gomez Gonzalez,421,Santiago Guallar Poza,CD,D
5,1931-1933,388,Aurelio Gomez Gonzalez,436,Jose Horn Areilza,CD,CD
5,1931-1933,388,Aurelio Gomez Gonzalez,607,Ramon Molina Nieto,CD,D
5,1931-1933,388,Aurelio Gomez Gonzalez,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,CD,CD
5,1931-1933,388,Aurelio Gomez Gonzalez,821,Antonio Royo Villanova Morales,CD,CD
5,1931-1933,421,Santiago Guallar Poza,436,Jose Horn Areilza,D,CD
5,1931-1933,421,Santiago Guallar Poza,607,Ramon Molina Nieto,D,D
5,1931-1933,421,Santiago Guallar Poza,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,D,CD
5,1931-1933,421,Santiago Guallar Poza,821,Antonio Royo Villanova Morales,D,CD
5,1931-1933,436,Jose Horn Areilza,607,Ramon Molina Nieto,CD,D
5,1931-1933,436,Jose Horn Areilza,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,CD,CD
5,1931-1933,436,Jose Horn Areilza,821,Antonio Royo Villanova Morales,CD,CD
5,1931-1933,607,Ramon Molina Nieto,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,D,CD
5,1931-1933,607,Ramon Molina Nieto,821,Antonio Royo Villanova Morales,D,CD
5,1931-1933,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,821,Antonio Royo Villanova Morales,CD,CD
6,1931-1933,22,Gumersindo Alberca Montoya,155,Juan Botella Asensi,CI,CI
6,1931-1933,22,Gumersindo Alberca Montoya,178,Juan Canales Gonzalez,CI,I
6,1931-1933,22,Gumersindo Alberca Montoya,655,Emilio Niembro Gutierrez,CI,CI
6,1931-1933,22,Gumersindo Alberca Montoya,672,Eduardo Ortega Y Gasset,CI,CI
6,1931-1933,22,Gumersindo Alberca Montoya,895,Salvador Sediles Moreno,CI,I
6,1931-1933,22,Gumersindo Alberca Montoya,920,Rodrigo Soriano Barroeta Aldamar,CI,CI
6,1931-1933,155,Juan Botella Asensi,178,Juan Canales Gonzalez,CI,I
6,1931-1933,155,Juan Botella Asensi,655,Emilio Niembro Gutierrez,CI,CI
6,1931-1933,155,Juan Botella Asensi,672,Eduardo Ortega Y Gasset,CI,CI
6,1931-1933,155,Juan Botella Asensi,895,Salvador Sediles Moreno,CI,I
6,1931-1933,155,Juan Botella Asensi,920,Rodrigo Soriano Barroeta Aldamar,CI,CI
6,1931-1933,178,Juan Canales Gonzalez,655,Emilio Niembro Gutierrez,I,CI
6,1931-1933,178,Juan Canales Gonzalez,672,Eduardo Ortega Y Gasset,I,CI
6,1931-1933,178,Juan Canales Gonzalez,895,Salvador Sediles Moreno,I,I
6,1931-1933,178,Juan Canales Gonzalez,920,Rodrigo Soriano Barroeta Aldamar,I,CI
6,1931-1933,655,Emilio Niembro Gutierrez,672,Eduardo Ortega Y Gasset,CI,CI
6,1931-1933,655,Emilio Niembro Gutierrez,895,Salvador Sediles Moreno,CI,I
6,1931-1933,655,Emilio Niembro Gutierrez,920,Rodrigo Soriano Barroeta Aldamar,CI,CI
6,1931-1933,672,Eduardo Ortega Y Gasset,895,Salvador Sediles Moreno,CI,I
6,1931-1933,672,Eduardo Ortega Y Gasset,920,Rodrigo Soriano Barroeta Aldamar,CI,CI
6,1931-1933,895,Salvador Sediles Moreno,920,Rodrigo Soriano Barroeta Aldamar,I,CI
7,1931-1933,388,Aurelio Gomez Gonzalez,393,Ricardo Gomez Roji,CD,ED
7,1931-1933,388,Aurelio Gomez Gonzalez,436,Jose Horn Areilza,CD,CD
7,1931-1933,388,Aurelio Gomez Gonzalez,512,Dimas Madariaga Almendros,CD,D
7,1931-1933,388,Aurelio Gomez Gonzalez,607,Ramon Molina Nieto,CD,D
7,1931-1933,388,Aurelio Gomez Gonzalez,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,CD,CD
7,1931-1933,388,Aurelio Gomez Gonzalez,735,Antonio Pildain Zapiain,CD,ED
7,1931-1933,388,Aurelio Gomez Gonzalez,821,Antonio Royo Villanova Morales,CD,CD
7,1931-1933,393,Ricardo Gomez Roji,436,Jose Horn Areilza,ED,CD
7,1931-1933,393,Ricardo Gomez Roji,512,Dimas Madariaga Almendros,ED,D
7,1931-1933,393,Ricardo Gomez Roji,607,Ramon Molina Nieto,ED,D
7,1931-1933,393,Ricardo Gomez Roji,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,ED,CD
7,1931-1933,393,Ricardo Gomez Roji,735,Antonio Pildain Zapiain,ED,ED
7,1931-1933,393,Ricardo Gomez Roji,821,Antonio Royo Villanova Morales,ED,CD
